ano;cod_mun;num_obt
2010;210173;5
2011;210173;1
2012;210173;5
2013;210173;3
2014;210173;1
2015;210173;5
2016;210173;3
2004;210177;2
2005;210177;5
2006;210177;3
2007;210177;1
2008;210177;6
2009;210177;2
2010;210177;4
2011;210177;6
2012;210177;3
2013;210177;1
2014;210177;6
2015;210177;3
2016;210177;2
2004;210180;1
2006;210180;1
2007;210180;1
2009;210180;1
2014;210180;1
2015;210180;1
2016;210180;1
2004;210190;6
2005;210190;9
2006;210190;9
2009;210190;5
2010;210190;7
2011;210190;4
2012;210190;4
2013;210190;3
2014;210190;4
2015;210190;4
2016;210190;2
2004;210193;2
2005;210193;3
2006;210193;2
2008;210193;1
2009;210193;4
2010;210193;3
2011;210193;2
2012;210193;1
2014;210193;1
2015;210193;1
2016;210193;3
2004;210197;3
2005;210197;1
2006;210197;6
2007;210197;1
2008;210197;3
2009;210197;4
2010;210197;2
2011;210197;2
2012;210197;2
2013;210197;3
2014;210197;3
2015;210197;2
2016;210197;3
2004;210200;15
2005;210200;9
2006;210200;8
2007;210200;10
2008;210200;10
2009;210200;9
2010;210200;9
2011;210200;11
2012;210200;10
2013;210200;9
2014;210200;5
2015;210200;10
2016;210200;8
2004;210203;13
2005;210203;10
2006;210203;9
2007;210203;6
2008;210203;7
2009;210203;13
2010;210203;14
2011;210203;10
2012;210203;9
2013;210203;16
2014;210203;13
2015;210203;10
2016;210203;14
2004;210207;3
2005;210207;11
2006;210207;4
2007;210207;6
2008;210207;4
2009;210207;3
2011;210207;2
2012;210207;2
2013;210207;1
2014;210207;2
2015;210207;4
2016;210207;3
2004;210210;11
2005;210210;7
2006;210210;3
2007;210210;2
2008;210210;12
2009;210210;9
2010;210210;12
2011;210210;12
2012;210210;4
2013;210210;7
2014;210210;10
2015;210210;5
2016;210210;7
2004;210215;12
2005;210215;14
2006;210215;9
2007;210215;5
2008;210215;5
2009;210215;5
2010;210215;2
2011;210215;4
2014;210215;1
2016;210215;1
2004;210220;24
2005;210220;10
2006;210220;14
2007;210220;8
2008;210220;11
2009;210220;19
2010;210220;13
2011;210220;12
2012;210220;13
2013;210220;14
2014;210220;13
2015;210220;5
2016;210220;9
2004;210230;7
2005;210230;10
2006;210230;9
2007;210230;10
2008;210230;5
2009;210230;3
2010;210230;10
2011;210230;5
2012;210230;6
2013;210230;4
2014;210230;11
2015;210230;7
2016;210230;5
2004;210232;12
2005;210232;20
2006;210232;20
2007;210232;29
2008;210232;24
2009;210232;28
2010;210232;21
2011;210232;16
2012;210232;18
2013;210232;20
2014;210232;24
2015;210232;22
2016;210232;17
2004;210235;3
2005;210235;8
2006;210235;6
2007;210235;7
2008;210235;3
2009;210235;4
2010;210235;2
2011;210235;3
2012;210235;5
2013;210235;3
2014;210235;2
2015;210235;4
2016;210235;2
2005;210237;4
2006;210237;1
2007;210237;4
2008;210237;2
2009;210237;5
2010;210237;1
2011;210237;3
2012;210237;3
2013;210237;3
2014;210237;2
