mun,coef
210005,-0.731687629871775
210010,-0.2854372031364915
210015,-0.05358155044707521
210020,-0.469777721755187
210030,-0.5696441015773759
210040,-0.8339768411843852
210043,0.2796389763928403
210047,-0.669770403004517
210050,-0.6480514515777869
210055,-0.3713217467231156
210060,0.1585456383249902
210070,-0.3208356750673443
210080,-0.4762179236884105
210083,0.3044037384381942
210090,0.2106509728072584
210095,0.3232600372050276
210100,-0.08778493752049707
210110,0.07607276433727067
210120,-0.7779394687522923
210125,-0.6551446666571683
210130,-0.020098946594063118
210140,0.31059412999001507
210150,0.06798667216999629
210160,-0.599855349298196
210170,0.09752035854229417
210173,-0.4818076732257297
210177,-0.06551865971935392
210190,-0.8238158484787466
210193,-0.2918521588413873
210197,-0.05330847374941127
210200,-0.4804318623389538
210203,0.4158890195399509
210207,-0.6321385423184462
210210,-0.12435557608451893
210215,-0.8368099891678936
210220,-0.43220922438733655
210230,-0.22333834052070017
210232,-0.06888315183046859
210235,-0.5676058474228043
210237,-0.1570196596796202
210250,-0.18702563824809437
210255,-0.1650840389982625
210260,0.20099961806595953
210270,-0.02796053880495562
210280,0.038907377103126195
210290,0.27982225918878595
210300,-0.6748420213751761
210312,-0.5806512986040452
210315,0.21246605947663505
210317,-0.06643668146746755
210320,-0.7781225139602022
210325,-0.3189933679283997
210330,-0.8686233292248833
210340,-0.12130892760531246
210350,0.06647284927984548
210355,-0.5226398110717666
210360,-0.2843062137367585
210370,-0.4338234208018411
210375,-0.4101555007194107
210380,0.19305700683719484
210390,-0.8040005238969066
210400,-0.5220717886221096
210405,-0.48726422792281054
210407,0.023123072421793376
210408,0.3960300547197026
210409,-0.3621359286165383
210410,-0.388121234182428
210420,-0.5063799154937396
210430,0.3913451118802983
210440,-0.5678750349093595
210450,-0.07217305368205348
210455,-0.23273979654771598
210460,-0.46609428851682466
210462,-0.6973430614322219
210465,-0.6162616111128932
210467,-0.527722453148372
210470,-0.6628644258745102
210480,0.5482893534289087
210490,-0.32675493235626796
210500,-0.4503918726579895
210510,-0.5377556789095023
210515,0.0848793088643445
210520,-0.042874568372425446
210530,-0.8387030840913453
210535,-0.49358963314200766
210540,-0.46473924732362537
210542,-0.6832186686636486
210545,-0.3809371713611479
210547,0.3838675874820147
210550,-0.4761027935221219
210560,-0.5017065716074212
210565,-0.34601088489764587
210570,-0.007205092272387663
210580,-0.42538354818513857
210592,-0.24938288007511658
210594,-0.39899504635682576
210596,-0.240444785893683
210598,0.41611070601752825
210610,0.2241645774562163
210630,-0.741406289815725
210632,0.2203974253994122
210635,-0.43452882638947216
210637,-0.13258510648501204
210640,0.0940603206042955
210650,0.08030575087691755
210660,-0.2508234715939836
210670,-0.5551038088363016
210675,-0.5577539489499246
210680,-0.6490234748665552
210690,0.20248345371314902
210700,-0.1299776269141673
210710,-0.7201401438267538
210720,-0.5448177278149678
210735,0.15527731313319884
210740,-0.49688271317451205
210745,0.1332065376260616
210750,0.6361995004486084
210760,-0.2869240850523495
210770,-0.22060394925705815
210780,-0.5904894138127321
210790,-0.19699753391606206
210800,0.010280979176465553
210805,0.05447688055361065
210810,0.20200872669225062
210820,-0.11319454779893887
210825,-0.2958017507138951
210830,-0.18473787817366613
210840,-0.11058931064249133
210845,-0.0386592405772407
210850,-0.4635268862953044
210860,-0.4124720840108126
210870,0.42685017827088456
210880,-0.34789375133680417
210890,-0.5721617811639923
210900,-0.31662844978606786
210905,-0.8370995160301703
210910,-0.664274296848378
210920,-0.2462562998169536
210923,0.299259696156831
210927,0.0008686716665998662
210940,0.04693543382216472
210945,-0.6679538098206724
210950,-0.41780573885305344
210960,-0.7820653027921977
210970,-0.09444221745570841
210975,-0.341791653261657
210980,0.12675402753604148
210990,-0.7209387834236721
211000,-0.5269899625593676
211003,-0.250938473229843
211010,-0.17019897568496464
211020,0.04235997718238656
211027,-0.7121634433356739
211030,-0.428294494172408
211040,-0.35336955282435933
211050,0.31640751069756146
211060,-0.6874022655191109
211065,-0.166558775913434
211070,-0.08936739973978083
211080,-0.08722720418496684
211085,-0.3537812901003259
211100,-0.18133933431170346
211102,0.03520244581381331
211107,-0.5227756794976128
211110,-0.2716388544547674
211120,0.5970358541883354
211125,-0.12772062617526717
211130,-0.6733217143391083
211140,-0.5104088804292923
211150,0.10453469671279086
211153,-0.059235878510309446
211157,-0.6714249145780851
211160,0.6560926658592138
211167,-0.2470325978623396
211170,-0.3271137397396764
211172,-0.15315941541018582
211174,-0.3486163810600688
211176,-0.45764685218058787
211178,0.3278505192054872
211180,-0.022145579915019007
211190,0.44800511038698426
211195,-0.32664832679625616
211200,-0.3147149499836797
211210,-0.17614804336886145
211220,-0.4273297523386797
211223,-0.4045283054435423
211227,-0.4946165500475693
211230,-0.465005120950141
211240,0.5114732456453815
211245,-0.3682006529581702
211250,-0.398706553626881
211260,0.055186209505805724
211270,-0.18313463385230447
211280,-0.017792051832097686
211285,-0.6931200646490203
211290,-0.762188122970745
211300,-0.396959162564613
211400,-0.05400759178265648
210087,0.30381667143280777
210240,-0.26606543241600855
210275,0.7739762732258851
210310,0.07989069139763218
210590,-0.5398590426815394
210600,-0.7839224704795672
210620,-0.25784425854585014
210663,-0.6512659495170248
210667,-0.38288466861484005
210725,-0.2762590841961947
210730,0.3371559762689829
210930,0.17290418828894624
210955,0.05700875972745172
211023,-0.21564229596003492
211090,-0.33654059552412385
211105,-0.252830635819233
211163,-0.2871103426534811
210135,-0.4744438251479503
