mun,coef
210005,-0.731687629871775
210030,-0.5696441015773759
210047,-0.669770403004517
210060,0.1585456383249902
210090,0.2106509728072584
210095,0.3232600372050276
210120,-0.7779394687522923
210140,0.31059412999001507
210160,-0.599855349298196
210170,0.09752035854229417
210200,-0.4804318623389538
210203,0.4158890195399509
210210,-0.12435557608451893
210220,-0.43220922438733655
210232,-0.06888315183046859
210300,-0.6748420213751761
210320,-0.7781225139602022
210330,-0.8686233292248833
210340,-0.12130892760531246
210350,0.06647284927984548
210360,-0.2843062137367585
210370,-0.4338234208018411
210405,-0.48726422792281054
210467,-0.527722453148372
210480,0.5482893534289087
210500,-0.4503918726579895
210530,-0.8387030840913453
210540,-0.46473924732362537
210547,0.3838675874820147
210570,-0.007205092272387663
210660,-0.2508234715939836
210690,0.20248345371314902
210750,0.6361995004486084
210780,-0.5904894138127321
210810,0.20200872669225062
210820,-0.11319454779893887
210830,-0.18473787817366613
210850,-0.4635268862953044
210860,-0.4124720840108126
210910,-0.664274296848378
210945,-0.6679538098206724
210960,-0.7820653027921977
210990,-0.7209387834236721
211000,-0.5269899625593676
211010,-0.17019897568496464
211020,0.04235997718238656
211060,-0.6874022655191109
211070,-0.08936739973978083
211120,0.5970358541883354
211130,-0.6733217143391083
211150,0.10453469671279086
211210,-0.17614804336886145
211220,-0.4273297523386797
211230,-0.465005120950141
211250,-0.398706553626881
211260,0.055186209505805724
211270,-0.18313463385230447
211280,-0.017792051832097686
211290,-0.762188122970745
211400,-0.05400759178265648
