1.953 ; 1.732
2.175 ; 1.312
1.045 ; 0.650
1.919 ; 1.269
1.943 ; 0.667
1.883 ; 1.078
1.792 ; 1.700
1.898 ; 0.833
1.996 ; 0.708
2.022 ; 1.903
1.611 ; 0.636
2.349 ; 1.636
1.827 ; 1.205
1.616 ; 1.875
1.862 ; 0.850
1.947 ; 1.750
2.012 ; 1.314
2.078 ; 0.911
1.696 ; 2.000
4.931 ; 1.750
2.804 ; 0.562
2.232 ; 0.896
2.033 ; 0.846
2.000 ; 0.872
2.091 ; 1.653
2.400 ; 1.571
1.327 ; 0.158
1.770 ; 0.917
2.127 ; 1.889
2.094 ; 1.000
1.964 ; 1.667
1.887 ; 0.778
2.058 ; 0.883
2.193 ; 1.646
1.588 ; 0.761
1.357 ; 1.558
1.458 ; 1.189
1.681 ; 1.427
2.090 ; 0.920
2.334 ; 0.797
2.406 ; 1.058
2.371 ; 0.820
1.054 ; 0.933
1.181 ; 1.318
1.343 ; 1.481
1.461 ; 1.114
1.552 ; 0.923
1.610 ; 4.056
1.804 ; 2.171
1.952 ; 1.012
1.111 ; 0.417
1.227 ; 0.708
1.803 ; 0.967
1.832 ; 0.975
1.849 ; 1.089
1.843 ; 1.933
1.907 ; 0.818
1.859 ; 1.156
1.062 ; 0.818
1.425 ; 1.429
1.499 ; 1.125
1.536 ; 3.500
1.417 ; 2.143
1.562 ; 2.278
1.638 ; 1.571
1.700 ; 1.091
1.642 ; 1.278
1.568 ; 0.788
1.505 ; 1.117
1.731 ; 1.279
2.338 ; 0.743
2.572 ; 0.917
2.490 ; 0.825
2.276 ; 0.847
1.906 ; 0.609
1.336 ; 2.056
1.338 ; 1.278
1.437 ; 0.853
1.438 ; 1.364
1.596 ; 0.956
1.897 ; 0.577
2.410 ; 0.875
1.632 ; 1.182
1.845 ; 1.333
2.145 ; 0.733
2.040 ; 1.000
1.896 ; 0.600
1.948 ; 1.111
2.050 ; 1.195
2.160 ; 0.715
1.047 ; 0.800
1.169 ; 0.643
1.279 ; 0.762
1.516 ; 1.095
1.688 ; 1.413
1.794 ; 1.654
1.948 ; 1.352
2.111 ; 0.727
1.068 ; 0.357
1.195 ; 2.375
1.326 ; 0.807
1.507 ; 0.739
1.625 ; 1.243
1.926 ; 1.202
2.004 ; 0.865
2.457 ; 2.792
1.492 ; 0.851
1.689 ; 0.782
1.536 ; 0.917
1.640 ; 1.233
1.663 ; 1.293
1.699 ; 1.263
1.813 ; 0.860
1.860 ; 1.587
1.125 ; 0.600
1.752 ; 4.000
1.692 ; 0.200
1.754 ; 0.545
1.819 ; 0.875
1.827 ; 1.433
1.954 ; 1.143
2.310 ; 0.844
2.019 ; 1.167
1.951 ; 0.591
1.677 ; 0.667
1.697 ; 1.125
1.611 ; 1.467
1.677 ; 0.758
1.887 ; 1.245
2.220 ; 1.417
1.353 ; 0.857
1.458 ; 1.625
1.646 ; 1.259
1.647 ; 0.977
1.589 ; 2.700
1.560 ; 1.208
1.771 ; 1.179
1.966 ; 1.156
1.275 ; 0.556
1.994 ; 3.500
1.710 ; 0.762
1.683 ; 1.150
1.513 ; 0.400
1.396 ; 0.778
1.587 ; 0.810
1.844 ; 0.938
1.021 ; 0.846
1.291 ; 0.923
1.280 ; 0.949
1.435 ; 0.962
1.502 ; 1.050
1.700 ; 1.389
1.907 ; 1.091
2.072 ; 1.979
1.615 ; 2.400
1.898 ; 1.214
1.697 ; 2.000
1.655 ; 1.273
1.571 ; 0.705
1.644 ; 1.103
1.857 ; 1.179
2.289 ; 1.067
1.014 ; 1.350
2.109 ; 2.136
2.125 ; 1.487
2.069 ; 1.268
2.024 ; 0.773
2.037 ; 0.991
2.203 ; 1.190
2.624 ; 0.833
1.407 ; 1.000
1.515 ; 0.533
2.396 ; 1.033
3.031 ; 0.854
2.671 ; 1.514
2.496 ; 1.250
2.484 ; 1.079
2.605 ; 0.802
1.057 ; 0.615
1.180 ; 0.656
1.562 ; 1.370
1.638 ; 1.278
1.694 ; 1.100
1.786 ; 0.774
1.916 ; 0.868
2.164 ; 0.958
1.114 ; 0.818
1.962 ; 1.667
2.446 ; 1.083
2.834 ; 1.214
2.517 ; 0.820
2.283 ; 1.700
2.285 ; 1.000
2.450 ; 0.800
1.643 ; 1.000
1.853 ; 1.222
1.822 ; 0.492
1.824 ; 1.625
1.653 ; 1.000
1.562 ; 1.091
1.818 ; 1.694
2.174 ; 2.812
1.346 ; 0.600
1.506 ; 1.333
1.567 ; 1.222
1.646 ; 0.318
1.491 ; 0.250
1.344 ; 1.250
1.518 ; 0.729
1.808 ; 1.089
1.008 ; 0.600
1.210 ; 0.800
1.290 ; 0.598
1.329 ; 0.844
1.726 ; 0.750
1.836 ; 1.056
1.897 ; 1.375
1.980 ; 1.181
1.279 ; 1.667
1.580 ; 1.500
1.857 ; 1.067
1.885 ; 1.050
1.797 ; 1.156
1.787 ; 1.130
1.934 ; 0.909
1.966 ; 1.012
